Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Data 1,31.51511714,31.57067863,37.03228154,26.69446781,8.783265793,38.60537401,34.32233729,16.31745403,25.3375272,40.77648235,31.3580464,35.67324996,21.47343369,22.7811791
Data 2,31.51511714,21.30835178,38.10579412,29.52621983,34.52848608,22.66124313,16.74551002,28.53520044,24.57622258,39.47411775,39.20050149,35.28807525,16.56278284,12.64460381
Data 3,31.51511714,22.44935807,44.80003242,46.2523197,21.95240605,39.94940248,43.28458974,32.83412263,42.86127819,44.95129638,31.1412255,37.4142313,32.10723286,12.82570392
Data 4,31.51511714,38.50710141,34.12863625,28.91747603,48.68624622,44.92018176,45.6045247,28.9252313,36.64799304,46.42587267,48.5590892,39.28278251,23.12370893,38.77130362
Data 5,31.51511714,43.22875488,52.33591651,61.67371093,57.37656398,45.95250236,55.4795352,43.58997373,63.0058226,63.57242739,59.23847637,42.60424501,44.90927683,37.62736477
